,0,1
0,4.75,0.446975
1,1.0,0.6908
2,5.0,0.28595
3,4.666666666666667,0.1468
4,5.0,0.8625
5,5.0,0.4404
6,1.0,0.25895
7,5.0,0.31245
8,2.3333333333333335,-0.13906666666666667
9,4.729857819905213,0.5106364928909948
10,4.5,0.81245
11,5.0,0.5719
12,4.75,0.392
13,3.388888888888889,0.3196722222222222
14,5.0,0.55465
15,4.378947368421053,0.38978000000000007
16,5.0,0.0
17,5.0,0.6369
18,3.0,0.41622000000000003
19,4.3732503888024885,0.4983077760497669
20,5.0,0.7351
21,1.1666666666666667,-0.19273333333333334
22,4.333333333333333,0.36683333333333334
23,5.0,0.0
24,4.023255813953488,0.34602790697674407
25,4.024096385542169,0.3572710843373494
26,5.0,0.68176
27,5.0,0.296
28,4.0,0.4799
29,4.615384615384615,0.44704615384615387
30,4.459119496855346,0.35498427672955957
31,3.0,-0.56775
32,4.714285714285714,0.5352714285714286
33,3.909090909090909,0.4666272727272727
34,5.0,0.47279999999999994
35,5.0,0.0
36,2.0,0.9308
37,5.0,0.4404
38,5.0,0.2023
39,5.0,-0.18090000000000003
40,5.0,0.0
41,3.463768115942029,0.46711231884057963
42,4.739130434782608,0.2849347826086957
43,4.640522875816994,0.29756993464052284
44,4.0,0.9001
45,5.0,-0.1027
46,5.0,0.8999
47,2.0,-0.22738
48,5.0,0.77935
49,4.888888888888889,0.1890555555555556
50,4.75,0.612475
51,5.0,0.4762
52,5.0,0.0
53,4.076923076923077,0.27974615384615387
54,2.0,0.69
55,4.5,0.5529
56,5.0,0.0
57,3.5,0.12833333333333333
58,2.0,0.836
59,3.8,0.5675000000000001
60,1.0,-0.4767
61,3.0,0.3612
62,5.0,0.7351
63,5.0,0.7003
64,5.0,0.2732
65,2.0,0.5574
66,4.625,0.27510625
67,4.5,0.25115
68,3.0,-0.4449
69,3.0,0.4404
70,3.0,-0.25
71,4.0,0.4389
72,5.0,0.366
73,3.0,0.0
74,2.0,0.7184
75,4.519230769230769,0.3393153846153846
76,1.0,0.0
77,5.0,0.6892
78,5.0,0.0
79,5.0,0.5326500000000001
80,5.0,0.36188000000000003
81,5.0,0.8271
82,5.0,0.20995
83,5.0,0.2633666666666667
84,5.0,0.451575
85,3.687813021702838,0.46268714524207033
86,3.962962962962963,0.4612037037037036
87,4.0,0.40080000000000005
88,4.5,0.69495
89,5.0,0.3612
90,3.7857142857142856,0.7023428571428572
91,4.38,0.5418259999999999
92,4.607142857142857,0.18172321428571428
93,4.0,0.8591
94,5.0,0.8442
95,3.75,0.7348250000000001
96,4.543933054393306,0.507178242677824
97,5.0,0.8772
98,5.0,0.6588
99,4.6,0.39138
100,4.5,0.2023
101,5.0,0.6696
102,4.4,0.6205228571428572
103,5.0,0.1647
104,1.0,0.7808
105,5.0,0.8271
106,4.666666666666667,0.4755
107,4.666666666666667,0.4996666666666667
108,4.818181818181818,0.5720818181818182
109,4.7,0.50261
110,5.0,0.7880333333333333
111,4.803571428571429,0.42744464285714295
112,4.0,0.2202
113,4.166666666666667,0.12445833333333334
114,5.0,0.4028666666666667
115,5.0,0.765
116,5.0,0.0
117,4.96875,0.3546218749999999
118,3.3333333333333335,0.2521
119,5.0,0.5994
120,5.0,0.4588
121,2.0,-0.0058000000000000065
122,5.0,0.802
123,4.625,0.30376250000000005
124,1.0,-0.03484999999999999
125,2.5,0.024349999999999983
126,3.7142857142857144,0.4554857142857143
127,4.0,0.0
128,3.4285714285714284,0.47327142857142857
129,5.0,0.6850166666666667
130,5.0,0.39376666666666665
131,3.0,0.875
132,1.0,-0.4753
133,3.0,0.13355
134,5.0,0.6974
135,4.642857142857143,0.3513678571428572
136,4.5,0.4158
137,4.0,0.3612
138,3.6315789473684212,0.3625421052631579
139,4.0,0.27664999999999995
140,5.0,0.1779
141,4.0,0.41974090909090905
142,3.3333333333333335,0.07439999999999998
143,4.884615384615385,0.259823076923077
144,4.698630136986301,0.3620260273972603
145,4.0,0.69
146,1.0,-0.1531
147,3.3333333333333335,0.2786666666666667
148,4.337349397590361,0.4805698795180722
149,3.0,0.48055
150,2.8,0.5937333333333333
